     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.1119034582E+03    0.1036813215E+03    0.2218001160E+01    0.8950283554E+01
         2    0.5781486579E+02    0.5848259924E+02    0.2578769876E+01    0.8904326663E+01
         3    0.6377679169E+02    0.6492445038E+02    0.2486688448E+01    0.9024878313E+01
         4    0.9817976135E+02    0.8797710426E+02    0.2317278387E+01    0.9007407407E+01
         5    0.5573694755E+02    0.5858916635E+02    0.2556448306E+01    0.8964629529E+01
         6    0.6345732320E+02    0.6473109936E+02    0.2465320913E+01    0.9088912926E+01
         7    0.4895849377E+02    0.4644584511E+02    0.2645392438E+01    0.8974659864E+01
         8    0.3917125463E+02    0.3573108412E+02    0.2660805758E+01    0.9160321237E+01
         9    0.4077056391E+02    0.3684932381E+02    0.2632318536E+01    0.9216299822E+01
        10    0.1322564577E+03    0.1258217778E+03    0.2058864891E+01    0.8923494794E+01
        11    0.1218090654E+03    0.1128059629E+03    0.2145731392E+01    0.8957986767E+01
        12    0.1166603165E+03    0.1083877531E+03    0.2220238829E+01    0.8843478261E+01
        13    0.5656963783E+02    0.6511169318E+02    0.2508835586E+01    0.8958788534E+01
        14    0.6493284567E+02    0.7031907094E+02    0.2421009072E+01    0.9093780422E+01
        15    0.6554370379E+02    0.6440963407E+02    0.2577208832E+01    0.8782098432E+01
        16    0.7208525840E+02    0.7051934485E+02    0.2486500566E+01    0.8905895078E+01
        17    0.9788397509E+02    0.9806252438E+02    0.2288523496E+01    0.8872592593E+01
        18    0.9754851806E+02    0.9574681041E+02    0.2318321275E+01    0.8838518519E+01
        19    0.5888624772E+02    0.6826753264E+02    0.2507168466E+01    0.8896051920E+01
        20    0.3852234119E+02    0.3546222464E+02    0.2758674051E+01    0.8891687500E+01
        21    0.6380085368E+02    0.7330450392E+02    0.2420061572E+01    0.9032666306E+01
        22    0.4197241641E+02    0.3615915619E+02    0.2732921044E+01    0.8949000000E+01
        23    0.5677301169E+02    0.5994997573E+02    0.2511867973E+01    0.9060544218E+01
        24    0.6496802097E+02    0.6767190439E+02    0.2553221180E+01    0.8779664684E+01
        25    0.6979480419E+02    0.7331120286E+02    0.2464187237E+01    0.8908815576E+01
        26    0.5481318806E+02    0.5612556555E+02    0.2640189289E+01    0.8782482993E+01
        27    0.6029149555E+02    0.5929902280E+02    0.2581675469E+01    0.8878741497E+01
        28    0.6830351287E+02    0.6883062231E+02    0.2532124524E+01    0.8814058957E+01
        29    0.6014871550E+02    0.5841904846E+02    0.2614599403E+01    0.8805234979E+01
        30    0.5341138887E+02    0.4892358023E+02    0.2692269622E+01    0.8790312500E+01
        31    0.6068008934E+02    0.5765902861E+02    0.2640145100E+01    0.8749851279E+01
        32    0.6555221939E+02    0.5835209273E+02    0.2613624212E+01    0.8809399167E+01
        33    0.1166313876E+03    0.1137278973E+03    0.2210593495E+01    0.8756450883E+01
        34    0.4292238571E+02    0.3979932882E+02    0.2633395187E+01    0.9150267698E+01
        35    0.3499053213E+02    0.2903710839E+02    0.2715601198E+01    0.9149687500E+01
        36    0.4434460389E+02    0.4074124378E+02    0.2605551181E+01    0.9208209399E+01
        37    0.1256431161E+03    0.1142848712E+03    0.2129254557E+01    0.8972589792E+01
        38    0.4500912398E+02    0.3726100056E+02    0.2779540476E+01    0.8794765021E+01
        39    0.4815536762E+02    0.3884865161E+02    0.2749704741E+01    0.8844497323E+01
        40    0.1038482190E+03    0.9862374325E+02    0.2329913967E+01    0.8744565217E+01
        41    0.9355975646E+02    0.9162674667E+02    0.2346013652E+01    0.8848888889E+01
        42    0.9368174085E+02    0.8889771353E+02    0.2377216742E+01    0.8819703704E+01
        43    0.5967295456E+02    0.4790886696E+02    0.2683644612E+01    0.8836167800E+01
        44    0.2632643497E+02    0.3403255319E+02    0.2648239054E+01    0.9231833910E+01
        45    0.2911030054E+02    0.4275197804E+02    0.2600124329E+01    0.9180473373E+01
        46    0.4146923460E+02    0.4725740390E+02    0.2575331854E+01    0.9153741497E+01
        47    0.4958492797E+02    0.5184960615E+02    0.2550102978E+01    0.9126379494E+01
        48    0.6671768541E+02    0.6126547254E+02    0.2498486861E+01    0.9069958848E+01
        49    0.7983276551E+02    0.7094528866E+02    0.2445561625E+01    0.9011570248E+01
        50    0.8885745041E+02    0.8083992973E+02    0.2391588517E+01    0.8951530612E+01
        51    0.9558693600E+02    0.9090497381E+02    0.2336806086E+01    0.8890120037E+01
        52    0.9586478718E+02    0.9598869782E+02    0.2309180110E+01    0.8858979206E+01
        53    0.9672791808E+02    0.1011002857E+03    0.2281431781E+01    0.8827586207E+01
