     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.7301306667E+02    0.7872181227E+02    0.2353836848E-02    0.1806129822E+03    0.4142384666E+05
         2    0.1115410667E+03    0.1031616028E+03    0.2776342656E-02    0.1283690817E+03    0.4107056628E+05
         3    0.1163904667E+03    0.1103829859E+03    0.2963224183E-02    0.1315559900E+03    0.3870361070E+05
         4    0.8049570000E+02    0.9013704080E+02    0.2544681672E-02    0.1592579789E+03    0.4118770334E+05
         5    0.7687850000E+02    0.8819890891E+02    0.2499879069E-02    0.1588943763E+03    0.4169647781E+05
         6    0.1151615000E+03    0.1110067647E+03    0.2954057069E-02    0.1312693757E+03    0.3898841781E+05
         7    0.1183827000E+03    0.1194834610E+03    0.3088064184E-02    0.1145980139E+03    0.3900171239E+05
         8    0.1263473667E+03    0.1199715784E+03    0.2981381201E-02    0.1067352093E+03    0.4148291820E+05
         9    0.1167774333E+03    0.1246696350E+03    0.3062698064E-02    0.9705985458E+02    0.4139057969E+05
        10    0.1183212333E+03    0.1257891051E+03    0.3150857089E-02    0.9905956459E+02    0.3986766763E+05
        11    0.6767893333E+02    0.6770363602E+02    0.2103940809E-02    0.2033282182E+03    0.4270205180E+05
        12    0.6924846667E+02    0.7055403897E+02    0.2265224730E-02    0.2056707092E+03    0.4012887765E+05
        13    0.1178638333E+03    0.1224915572E+03    0.3128939566E-02    0.9817805567E+02    0.3977397763E+05
        14    0.1260300667E+03    0.1247570821E+03    0.3216129066E-02    0.1001433673E+03    0.3845887607E+05
        15    0.6395140000E+02    0.7450226219E+02    0.2243708407E-02    0.1884957721E+03    0.4222282918E+05
        16    0.7241710000E+02    0.8391121259E+02    0.2315627736E-02    0.1806129822E+03    0.4296268821E+05
        17    0.1167479333E+03    0.1035023478E+03    0.2683239594E-02    0.1252171623E+03    0.4299320475E+05
        18    0.1084637000E+03    0.1195768421E+03    0.3108705069E-02    0.8837686420E+02    0.4026285609E+05
        19    0.1173802333E+03    0.1105896330E+03    0.2873839283E-02    0.1283690817E+03    0.4053958995E+05
        20    0.1077780667E+03    0.1122519063E+03    0.2901764505E-02    0.1315559900E+03    0.4011459351E+05
        21    0.9370783333E+02    0.9314154507E+02    0.2477267314E-02    0.1592579789E+03    0.4289220044E+05
        22    0.8791373333E+02    0.9109993148E+02    0.2431614007E-02    0.1588943763E+03    0.4339925541E+05
        23    0.1175302333E+03    0.1144428716E+03    0.3055398249E-02    0.8837686420E+02    0.4037695375E+05
        24    0.1233274667E+03    0.1089607039E+03    0.2792192781E-02    0.1093144386E+03    0.4291328154E+05
        25    0.1119479000E+03    0.1143933668E+03    0.3039323616E-02    0.8817509054E+02    0.4066999738E+05
        26    0.1160802000E+03    0.1146398765E+03    0.2944085249E-02    0.1118102021E+03    0.4096406261E+05
        27    0.1068349333E+03    0.1029882954E+03    0.2670249631E-02    0.1280760016E+03    0.4296583458E+05
        28    0.1127276667E+03    0.1105320363E+03    0.2861373814E-02    0.1312693757E+03    0.4057522992E+05
        29    0.1130756000E+03    0.1108043393E+03    0.2826753949E-02    0.1120660606E+03    0.4242571866E+05
        30    0.1132335667E+03    0.1167667389E+03    0.2977663512E-02    0.1145980139E+03    0.4053845259E+05
        31    0.1026179667E+03    0.1085140481E+03    0.2753522610E-02    0.1067352093E+03    0.4369352031E+05
        32    0.1001710667E+03    0.9857244538E+02    0.2859924353E-02    0.8797423612E+02    0.4130572131E+05
        33    0.9148953333E+02    0.1055103401E+03    0.2868610742E-02    0.9705985458E+02    0.4172932044E+05
        34    0.6868523333E+02    0.7413278010E+02    0.2087291120E-02    0.2033282182E+03    0.4405730359E+05
        35    0.7368413333E+02    0.7730750085E+02    0.2249506758E-02    0.2056707092E+03    0.4152067292E+05
        36    0.1155646000E+03    0.1236010798E+03    0.3004685727E-02    0.9510999143E+02    0.4237728026E+05
        37    0.1181048000E+03    0.1246271288E+03    0.3129910270E-02    0.8797423612E+02    0.4073645088E+05
        38    0.7083120000E+02    0.7833566204E+02    0.2218048640E-02    0.1847090267E+03    0.4354694772E+05
        39    0.1189540667E+03    0.1247885163E+03    0.3208840657E-02    0.8898776418E+02    0.3928271044E+05
        40    0.1173187667E+03    0.1246485517E+03    0.3084860659E-02    0.9817805567E+02    0.4092008755E+05
        41    0.1177421333E+03    0.1268281723E+03    0.3172694122E-02    0.1001433673E+03    0.3957930652E+05
        42    0.6982910000E+02    0.8463414931E+02    0.2452927014E-02    0.1944841295E+03    0.3976007727E+05
        43    0.7875026667E+02    0.8046031750E+02    0.2365210704E-02    0.1846936435E+03    0.4125357289E+05
        44    0.9753893333E+02    0.9094743025E+02    0.2564662682E-02    0.1632117392E+03    0.4071817747E+05
        45    0.9081230000E+02    0.8887072417E+02    0.2520109143E-02    0.1628561581E+03    0.4119921856E+05
        46    0.1104217667E+03    0.1199090029E+03    0.3047853118E-02    0.1101261002E+03    0.4006960043E+05
        47    0.6689893333E+02    0.7021567979E+02    0.2108916530E-02    0.2075173597E+03    0.4276709272E+05
        48    0.7034353333E+02    0.7392318617E+02    0.2269923021E-02    0.2097877904E+03    0.4034415017E+05
        49    0.1293472000E+03    0.1226676046E+03    0.2966048592E-02    0.9998929025E+02    0.4261712482E+05
        50    0.1163718000E+03    0.1183766238E+03    0.2906522323E-02    0.1058983624E+03    0.4261712482E+05
        51    0.1096154000E+03    0.1139159151E+03    0.2844454618E-02    0.1120956195E+03    0.4261712482E+05
        52    0.7383243333E+02    0.7805021510E+02    0.2305835822E-02    0.1734532964E+03    0.4261712482E+05
        53    0.7589846667E+02    0.7411381385E+02    0.2237805257E-02    0.1827849743E+03    0.4261712482E+05
        54    0.7789620000E+02    0.7039528802E+02    0.2170344118E-02    0.1925313186E+03    0.4261712482E+05
        55    0.1073171667E+03    0.1082854100E+03    0.2734540800E-02    0.8899271991E+02    0.4509075779E+05
        56    0.1140277000E+03    0.1088594336E+03    0.2702047768E-02    0.9998929025E+02    0.4509075779E+05
        57    0.1140622333E+03    0.1081542392E+03    0.2675316716E-02    0.1058983624E+03    0.4509075779E+05
        58    0.1132415667E+03    0.1032509614E+03    0.2563538886E-02    0.1253995514E+03    0.4509075779E+05
        59    0.9731303333E+02    0.9846786479E+02    0.2469701233E-02    0.1399940445E+03    0.4509075779E+05
        60    0.8288196667E+02    0.9309414751E+02    0.2365695014E-02    0.1559773674E+03    0.4509075779E+05
        61    0.8378776667E+02    0.8755594939E+02    0.2255061472E-02    0.1734532964E+03    0.4509075779E+05
        62    0.8411906667E+02    0.8483733130E+02    0.2198168621E-02    0.1827849743E+03    0.4509075779E+05
        63    0.8230160000E+02    0.8220403142E+02    0.2140632842E-02    0.1925313186E+03    0.4509075779E+05
        64    0.7972536667E+02    0.7732761570E+02    0.2024658227E-02    0.2133268368E+03    0.4509075779E+05
        65    0.1333271667E+03    0.1304238061E+03    0.3173831617E-02    0.9228874658E+02    0.4063381375E+05
        66    0.1177511000E+03    0.1222003843E+03    0.3042846552E-02    0.1036925973E+03    0.4093259179E+05
        67    0.1148520667E+03    0.1134830926E+03    0.2903394561E-02    0.1162473091E+03    0.4123136983E+05
        68    0.1043592000E+03    0.1046873354E+03    0.2758962221E-02    0.1300439792E+03    0.4153014787E+05
        69    0.9885580000E+02    0.9615453770E+02    0.2612341292E-02    0.1451790092E+03    0.4182892592E+05
        70    0.8251083333E+02    0.8094979004E+02    0.2320919088E-02    0.1798774926E+03    0.4242648200E+05
        71    0.8228193333E+02    0.7769294842E+02    0.2249600629E-02    0.1895547882E+03    0.4257587102E+05
        72    0.8122306667E+02    0.7469794254E+02    0.2179200940E-02    0.1996621082E+03    0.4272526004E+05
        73    0.7805130000E+02    0.6956606523E+02    0.2041612712E-02    0.2212278308E+03    0.4302403809E+05
        74    0.7565850000E+02    0.6757535711E+02    0.2107313467E-02    0.2224551724E+03    0.4144120171E+05
        75    0.6902210000E+02    0.6686048971E+02    0.2075329124E-02    0.2224551724E+03    0.4189827379E+05
        76    0.6723246667E+02    0.6661210038E+02    0.2064575301E-02    0.2224551724E+03    0.4205063115E+05
        77    0.6564466667E+02    0.6609990693E+02    0.2042926673E-02    0.2224551724E+03    0.4235534587E+05
        78    0.6465190000E+02    0.6556685826E+02    0.2021087306E-02    0.2224551724E+03    0.4266006058E+05
        79    0.6527446667E+02    0.6443670235E+02    0.1976822698E-02    0.2224551724E+03    0.4326949002E+05
        80    0.6491693333E+02    0.6414053737E+02    0.1965631924E-02    0.2224551724E+03    0.4342184738E+05
        81    0.6509713333E+02    0.6383882322E+02    0.1954390398E-02    0.2224551724E+03    0.4357420474E+05
        82    0.6360703333E+02    0.6321854464E+02    0.1931753235E-02    0.2224551724E+03    0.4387891946E+05
        83    0.1331329333E+03    0.1275732505E+03    0.3124615223E-02    0.8620689655E+02    0.4142451173E+05
        84    0.1303768667E+03    0.1229251697E+03    0.3082104375E-02    0.8620689655E+02    0.4142451173E+05
        85    0.1275528667E+03    0.1205900859E+03    0.3060747949E-02    0.8620689655E+02    0.4142451173E+05
        86    0.1131955333E+03    0.1182475772E+03    0.3039323616E-02    0.8620689655E+02    0.4142451173E+05
        87    0.1089584667E+03    0.1135400956E+03    0.2996269495E-02    0.8620689655E+02    0.4142451173E+05
        88    0.1032596000E+03    0.1088023407E+03    0.2952938497E-02    0.8620689655E+02    0.4142451173E+05
        89    0.1006016333E+03    0.1040339204E+03    0.2909327037E-02    0.8620689655E+02    0.4142451173E+05
        90    0.9690393333E+02    0.9923443530E+02    0.2865431462E-02    0.8620689655E+02    0.4142451173E+05
        91    0.9634486667E+02    0.9682291639E+02    0.2843375969E-02    0.8620689655E+02    0.4142451173E+05
        92    0.9517810000E+02    0.9440347786E+02    0.2821248044E-02    0.8620689655E+02    0.4142451173E+05
        93    0.9246266667E+02    0.8954063276E+02    0.2776772985E-02    0.8620689655E+02    0.4142451173E+05
        94    0.1244155333E+03    0.1272119950E+03    0.3179481365E-02    0.8939974457E+02    0.4018280206E+05
        95    0.1249338000E+03    0.1268908702E+03    0.3192079586E-02    0.8939974457E+02    0.3990375483E+05
        96    0.1282394333E+03    0.1265671748E+03    0.3204654297E-02    0.8939974457E+02    0.3962470759E+05
        97    0.1238324333E+03    0.1262409181E+03    0.3217205583E-02    0.8939974457E+02    0.3934566035E+05
        98    0.1230619333E+03    0.1259121099E+03    0.3229733533E-02    0.8939974457E+02    0.3906661312E+05
        99    0.1256808333E+03    0.1255807595E+03    0.3242238232E-02    0.8939974457E+02    0.3878756588E+05
       100    0.1205031000E+03    0.1252468764E+03    0.3254719768E-02    0.8939974457E+02    0.3850851864E+05
       101    0.1237962000E+03    0.1250789880E+03    0.3260951876E-02    0.8939974457E+02    0.3836899503E+05
       102    0.1263286333E+03    0.1249104699E+03    0.3267178225E-02    0.8939974457E+02    0.3822947141E+05
       103    0.1243047333E+03    0.1245715494E+03    0.3279613689E-02    0.8939974457E+02    0.3795042417E+05
       104    0.9942550000E+02    0.9657551904E+02    0.2790146354E-02    0.8939974457E+02    0.4214315111E+05
       105    0.1039796667E+03    0.1010970462E+03    0.2847792847E-02    0.8939974457E+02    0.4185049034E+05
       106    0.1065988000E+03    0.1033377025E+03    0.2876432194E-02    0.8939974457E+02    0.4170415996E+05
       107    0.1094606333E+03    0.1055651053E+03    0.2904950326E-02    0.8939974457E+02    0.4155782957E+05
       108    0.1100665000E+03    0.1099805957E+03    0.2961627018E-02    0.8939974457E+02    0.4126516880E+05
       109    0.1137924333E+03    0.1143443945E+03    0.3017830944E-02    0.8939974457E+02    0.4097250803E+05
       110    0.1254120333E+03    0.1250333014E+03    0.3156323267E-02    0.8939974457E+02    0.4024085610E+05
       111    0.1295430000E+03    0.1271340890E+03    0.3183683390E-02    0.8939974457E+02    0.4009452571E+05
       112    0.1281758000E+03    0.1312994666E+03    0.3238072577E-02    0.8939974457E+02    0.3980186494E+05
